id,source,source_id,title,organization,executing_org,support_field,support_type,amount_text,summary,apply_start,apply_end,is_rolling,original_url,apply_url,eligibility,unmapped_conditions,required_documents,review_status,is_synthetic,duplicate_of,parsed_at,created_at,updated_at
seed-11,kstartup,SEED-11,글로벌 액셀러레이팅 프로그램,창업진흥원,,수출,해외 액셀러레이팅,"최대 5,000만원","해외 진출을 준비하는 창업기업에 현지 액셀러레이터 연계 프로그램을 제공합니다. 현지 시장 조사와 데모데이 참가, 투자 유치 피칭을 지원합니다. 참가 기업은 현지 체류 일정과 사전 교육에 반드시 참여해야 하며 항공료와 체재비는 일부만 지원됩니다. 프로그램 종료 후 성과 보고서를 제출합니다.",-90d,-3d,false,,,"{""operator"":""AND"",""conditions"":[{""field"":""business_age_months"",""op"":""lte"",""value"":84,""label"":""업력 7년 이내"",""source_text"":""창업 후 7년 이내 기업이 신청할 수 있습니다.""}]}",[],[],human_verified,true,,,-90d,-90d
seed-12,bizinfo,SEED-12,중소기업 고용창출장려금,고용노동부,,고용,인건비 지원,최대 720만원,신규 고용을 늘린 중소기업에 인건비 일부를 지원합니다. 고용보험 피보험자 수 증가가 확인되어야 하며 지원 기간 동안 고용을 유지해야 합니다. 지원금은 고용 유지 기간에 따라 분할 지급되며 지원 기간 중 인원이 줄면 지급이 중단됩니다. 다른 인건비 지원 사업과는 중복 수급이 제한됩니다.,-240d,+119d,false,,,"{""operator"":""AND"",""conditions"":[{""field"":""employee_count"",""op"":""gte"",""value"":1,""label"":""상시근로자 1인 이상"",""source_text"":""근로자를 1명 이상 고용한 사업장이어야 합니다.""},{""field"":""employee_count"",""op"":""lt"",""value"":100,""label"":""상시근로자 100인 미만"",""source_text"":""상시근로자 100인 미만 기업으로 한정합니다.""}]}",[],"[{""document_type_id"":""insurance_member_list"",""name"":""4대보험 가입자명부"",""source_text"":""4대보험 가입자명부를 제출합니다."",""is_required"":true}]",human_verified,true,,,-240d,-240d
seed-13,bizinfo,SEED-13,여성기업 지원사업,여성기업종합지원센터,,경영,판로·경영 지원,"최대 2,000만원","여성이 대표인 기업의 판로 개척과 경영 역량 강화를 지원합니다. 전시회 참가와 홍보물 제작, 경영 컨설팅 비용을 지원하며 여성기업확인서 보유가 필요합니다. 지원 항목별 한도가 정해져 있으며 자부담 비율을 충족해야 합니다. 집행 후 증빙 서류를 제출해 정산하며 미제출 시 환수됩니다.",-25d,+2d,false,,,"{""operator"":""AND"",""conditions"":[{""field"":""ceo_gender"",""op"":""eq"",""value"":""female"",""label"":""여성 대표자"",""source_text"":""여성이 대표자인 기업으로 한정합니다.""}]}",[],"[{""document_type_id"":""women_enterprise_cert"",""name"":""여성기업확인서"",""source_text"":""여성기업확인서를 제출하여야 합니다."",""is_required"":true}]",human_verified,true,,,-25d,-25d
seed-14,bizinfo,SEED-14,광주 청년 일자리 도약 장려금,광주광역시,,고용,지역 인건비 지원,"최대 1,200만원",광주광역시가 지역 청년 고용을 늘리기 위해 운영하는 장려금입니다. 청년을 채용하거나 청년이 대표인 소규모 기업에 인건비를 지원하며 지역 내 사업장 유지가 조건입니다. 지원금은 채용 후 매 분기 신청해 지급받으며 사업장 이전이나 폐업 시 남은 지원이 중단됩니다. 신청 전 사전 상담을 권장합니다.,-14d,+9d,false,,,"{""operator"":""AND"",""conditions"":[{""field"":""region_code"",""op"":""in"",""value"":[""29""],""label"":""광주광역시 소재 기업"",""source_text"":""광주광역시에 사업장을 둔 기업이어야 합니다.""},{""operator"":""OR"",""conditions"":[{""field"":""ceo_age"",""op"":""lte"",""value"":39,""label"":""대표자 만 39세 이하"",""source_text"":""대표자가 만 39세 이하이거나""},{""field"":""hiring_planned"",""op"":""eq"",""value"":true,""label"":""청년 채용 예정"",""source_text"":""청년을 신규 채용할 계획이 있는 기업이어야 합니다.""}]},{""field"":""employee_count"",""op"":""lt"",""value"":5,""label"":""상시근로자 5인 미만"",""source_text"":""상시근로자 5인 미만 사업장이 대상입니다.""},{""field"":""business_age_months"",""op"":""lte"",""value"":84,""label"":""업력 7년 이내"",""source_text"":""창업 후 7년 이내 기업으로 한정합니다.""}]}",[],"[{""document_type_id"":""sme_confirmation"",""name"":""중소기업확인서"",""source_text"":""중소기업확인서를 제출하여야 합니다."",""is_required"":true}]",human_verified,true,,,-14d,-14d
seed-15,bizinfo,SEED-15,광주 청년 창업 지원금,광주광역시,,창업,창업 사업화 자금,"최대 3,000만원","광주 지역 청년 창업자의 초기 사업화 비용을 지원합니다. 시제품 제작과 마케팅, 지식재산권 출원 비용을 지원하며 지역 창업 생태계 프로그램 참여가 권장됩니다. 선정 기업은 사업비 집행 계획서를 제출하고 정해진 항목에만 사용해야 하며 종료 후 정산 보고서를 제출합니다. 지역 외 이전 시 환수 대상입니다.",-1d,+45d,false,,,"{""operator"":""AND"",""conditions"":[{""field"":""region_code"",""op"":""in"",""value"":[""29""],""label"":""광주광역시 소재 기업"",""source_text"":""광주광역시에 사업장을 둔 기업이어야 합니다.""},{""field"":""ceo_age"",""op"":""lte"",""value"":39,""label"":""대표자 만 39세 이하"",""source_text"":""대표자가 만 39세 이하인 청년 창업자여야 합니다.""}]}",[],"[{""document_type_id"":""biz_registration_cert"",""name"":""사업자등록증명"",""source_text"":""사업자등록증명을 제출합니다."",""is_required"":true}]",human_verified,true,,,-1d,-1d
seed-16,kstartup,SEED-16,광주테크노파크 지역특화 R&D,광주테크노파크,,R&D,지역 연계 R&D 자금,최대 1.5억원,광주 지역 주력 산업과 연계된 기술개발 과제를 지원합니다. 지역 연구기관과의 공동 연구를 권장하며 과제 종료 후 사업화 실적을 점검합니다. 과제 신청 전 사전 컨설팅을 받을 수 있으며 지역 연구기관과 컨소시엄을 구성하면 평가에서 가점을 받습니다. 총사업비의 일부는 자기부담입니다.,-3d,+30d,false,,,"{""operator"":""AND"",""conditions"":[{""field"":""region_code"",""op"":""in"",""value"":[""29""],""label"":""광주광역시 소재 기업"",""source_text"":""광주광역시 소재 기업이 신청할 수 있습니다.""},{""field"":""business_age_months"",""op"":""lte"",""value"":84,""label"":""업력 7년 이내"",""source_text"":""창업 후 7년 이내 기업이 대상입니다.""}]}","[{""text"":""지역 우수기업 우선 선정"",""reason"":""'우수기업' 기준이 공고문에 정의되어 있지 않습니다.""}]","[{""document_type_id"":""business_plan"",""name"":""사업계획서"",""source_text"":""연구개발 사업계획서를 제출합니다."",""is_required"":true}]",human_verified,true,,,-3d,-3d
seed-17,bizinfo,SEED-17,전남 청년창업 활성화 지원,전라남도,,창업,창업 사업화 자금,"최대 2,000만원","전라남도 내 초기 창업기업의 정착과 자립을 지원합니다. 사업화 자금과 함께 지역 창업 거점의 공간 이용, 전문가 상담을 연계 제공합니다. 선정 기업은 도내 사업장을 일정 기간 유지해야 하며 이전하거나 폐업하면 지원금이 환수됩니다. 창업 교육 이수가 지급 조건에 포함됩니다.",-7d,+35d,false,,,"{""operator"":""AND"",""conditions"":[{""field"":""region_code"",""op"":""in"",""value"":[""46""],""label"":""전라남도 소재 기업"",""source_text"":""전라남도에 사업장을 둔 기업이어야 합니다.""},{""field"":""business_age_months"",""op"":""lte"",""value"":36,""label"":""업력 3년 이내"",""source_text"":""창업 후 3년 이내 기업으로 한정합니다.""}]}",[],"[{""document_type_id"":""biz_registration_cert"",""name"":""사업자등록증명"",""source_text"":""사업자등록증명을 제출합니다."",""is_required"":true}]",human_verified,true,,,-7d,-7d
seed-18,bizinfo,SEED-18,소상공인 위생·시설 개선 지원,전라남도,,경영,시설 개선 보조금,최대 500만원,식품을 다루는 소상공인의 위생 설비와 노후 시설 개선 비용을 지원합니다. 조리 공간 정비와 위생 장비 구입에 사용할 수 있으며 사후 위생 점검을 받습니다. 지원 항목은 위생 설비와 시설 보수로 한정되며 임차 사업장은 임대인 동의서가 필요합니다. 시공 완료 후 현장 확인을 거쳐 정산합니다.,-7d,+40d,false,,,"{""operator"":""AND"",""conditions"":[{""field"":""region_code"",""op"":""in"",""value"":[""46""],""label"":""전라남도 소재 기업"",""source_text"":""전라남도 소재 사업장이 대상입니다.""},{""field"":""is_food_business"",""op"":""eq"",""value"":true,""label"":""식품 영업자"",""source_text"":""식품 관련 영업신고를 한 사업장이어야 합니다.""},{""field"":""employee_count"",""op"":""lt"",""value"":5,""label"":""상시근로자 5인 미만"",""source_text"":""상시근로자 5인 미만 소상공인이 대상입니다.""}]}",[],"[{""document_type_id"":""food_business_permit"",""name"":""영업신고증"",""source_text"":""식품 영업신고증 사본을 제출합니다."",""is_required"":true}]",human_verified,true,,,-7d,-7d
seed-19,bizinfo,SEED-19,소공인 특화자금,소상공인시장진흥공단,,금융,정책자금 융자,"최대 5,000만원",제조 기반 소공인의 설비 투자와 운전자금을 저금리로 융자합니다. 숙련 기술을 활용한 제조 활동이 확인되어야 하며 연중 상시 접수합니다. 융자 대상 설비와 사용처가 제한되며 집행 내역 증빙을 제출해야 합니다. 상환 기간은 거치 기간을 포함해 협약 시 확정됩니다. 연체 시 추가 신청이 제한됩니다.,-3d,,true,,,"{""operator"":""AND"",""conditions"":[{""field"":""industry_code"",""op"":""eq"",""value"":""C"",""label"":""제조업"",""source_text"":""제조업을 영위하는 소공인이 대상입니다.""},{""field"":""employee_count"",""op"":""lt"",""value"":10,""label"":""상시근로자 10인 미만"",""source_text"":""상시근로자 10인 미만이어야 합니다.""}]}",[],"[{""document_type_id"":""biz_registration_cert"",""name"":""사업자등록증명"",""source_text"":""사업자등록증명을 제출합니다."",""is_required"":true}]",human_verified,true,,,-3d,-3d
seed-20,kstartup,SEED-20,벤처기업 R&D 세액공제 컨설팅 지원,중소벤처기업부,,경영,세무 컨설팅 지원,"최대 1,000만원",벤처기업 인증을 보유한 기업이 연구개발비 세액공제를 정확히 적용받도록 세무 컨설팅 비용을 지원합니다. 공제 요건 검토와 증빙 정비를 함께 진행합니다. 컨설팅 수행 기관은 지정된 세무 법인 중에서 선택하며 비용의 일부는 기업이 부담합니다. 컨설팅 결과 보고서를 제출해야 지원금이 지급됩니다.,-3d,+60d,false,,,"{""operator"":""AND"",""conditions"":[{""field"":""certifications"",""op"":""includes"",""value"":""venture"",""label"":""벤처기업 인증 보유"",""source_text"":""벤처기업확인서를 보유한 기업이 대상입니다.""}]}",[],"[{""document_type_id"":""venture_cert"",""name"":""벤처기업확인서"",""source_text"":""벤처기업확인서를 제출하여야 합니다."",""is_required"":true}]",human_verified,true,,,-3d,-3d
seed-21,bizinfo,SEED-21,2026 초기창업패키지 창업기업 모집,창업진흥원,,창업,사업화 자금 + 멘토링,최대 1억원,창업 3년 이내 초기기업의 시제품 제작과 사업화를 지원합니다. 사업화 자금과 주관기관의 창업 교육·멘토링을 함께 제공하며 협약 기간 중 성과를 점검합니다. 신청은 온라인 접수 시스템을 통해서만 받으며 서류 심사와 대면 평가를 거쳐 선정합니다. 기수혜 기업은 지원이 제한됩니다.,-20d,+12d,false,,,"{""operator"":""AND"",""conditions"":[{""field"":""business_age_months"",""op"":""lte"",""value"":36,""label"":""업력 3년 이내"",""source_text"":""창업 후 3년 이내 기업이어야 합니다.""},{""field"":""employee_count"",""op"":""lt"",""value"":10,""label"":""상시근로자 10인 미만"",""source_text"":""상시근로자 10인 미만 기업으로 한정합니다.""}]}",[],[],human_verified,true,seed-01,,-19d,-19d
seed-22,bizinfo,SEED-22,창업도약패키지 3차 사업 참여기업 모집공고,창업진흥원,,창업,사업화 자금 + 성장 멘토링,최대 3억원,"창업 3년에서 7년 사이 도약기 기업의 사업 모델 고도화와 매출 확대를 지원합니다. 사업화 자금과 분야별 멘토링, 판로 개척 프로그램을 제공합니다. 선정 기업은 협약을 맺고 자금을 분할 지급받으며 중간 점검과 최종 평가를 받습니다. 같은 사업을 이미 지원받은 기업은 신청할 수 없습니다.",-10d,+27d,false,,,"{""operator"":""AND"",""conditions"":[{""field"":""business_age_months"",""op"":""gte"",""value"":36,""label"":""업력 3년 이상"",""source_text"":""창업 후 3년이 지난 기업을 대상으로 합니다.""},{""field"":""business_age_months"",""op"":""lte"",""value"":84,""label"":""업력 7년 이내"",""source_text"":""창업 후 7년을 넘지 않아야 합니다.""}]}",[],[],human_verified,true,seed-02,,-9d,-9d
seed-23,kstartup,SEED-23,청년창업사관학교 졸업기업 후속지원,중소벤처기업부,,창업,졸업기업 후속 사업화,"최대 5,000만원",청년창업사관학교를 수료한 기업의 후속 성장을 지원합니다. 졸업 이후 매출과 고용 성과를 낸 기업에 추가 사업화 자금과 투자 연계를 제공합니다. 수료 사실이 확인된 기업만 신청할 수 있으며 졸업 이후 경과 연수에 따라 지원 규모가 달라집니다. 투자 유치 실적이 있으면 우대합니다.,-60d,-5d,false,,,"{""operator"":""AND"",""conditions"":[{""field"":""business_age_months"",""op"":""lte"",""value"":84,""label"":""업력 7년 이내"",""source_text"":""창업 후 7년 이내 기업이 신청할 수 있습니다.""}]}","[{""text"":""청년창업사관학교 졸업기업에 한함"",""reason"":""수료 이력은 프로필 항목으로 확인할 수 없습니다.""}]",[],human_verified,true,,,-60d,-60d
